sensor_id,latitude,longitude,timestamp,value
10,46.31411,11.08359,2023-07-15 12:00:00+00:00,49.0
11,46.31593,11.0862,2023-07-15 12:00:00+00:00,40.0
60,46.31769,11.07855,2023-07-15 12:00:00+00:00,55.0
77,46.31392,11.09142,2023-07-15 12:00:00+00:00,74.75
78,46.3157,11.08748,2023-07-15 12:00:00+00:00,113.25
79,46.32395,11.08641,2023-07-15 12:00:00+00:00,492.0
80,46.32267,11.08787,2023-07-15 12:00:00+00:00,59.0
81,46.30213,11.08946,2023-07-15 12:00:00+00:00,370.0
84,46.31254,11.09262,2023-07-15 12:00:00+00:00,39.0
86,46.318,11.0896,2023-07-15 12:00:00+00:00,56.0
87,46.32371,11.09077,2023-07-15 12:00:00+00:00,315.75
88,46.31141,11.08629,2023-07-15 12:00:00+00:00,271.6666666666667
1,46.31213,11.08839,2023-07-15 13:00:00+00:00,82.75
2,46.32987,11.08961,2023-07-15 13:00:00+00:00,110.75
4,46.32096,11.0838,2023-07-15 13:00:00+00:00,462.5
5,46.3085,11.08802,2023-07-15 13:00:00+00:00,261.75
6,46.3169,11.0942,2023-07-15 13:00:00+00:00,59.0
9,46.31227,11.09467,2023-07-15 13:00:00+00:00,40.5
10,46.31411,11.08359,2023-07-15 13:00:00+00:00,51.5
11,46.31593,11.0862,2023-07-15 13:00:00+00:00,39.0
60,46.31769,11.07855,2023-07-15 13:00:00+00:00,61.5
77,46.31392,11.09142,2023-07-15 13:00:00+00:00,77.75
78,46.3157,11.08748,2023-07-15 13:00:00+00:00,106.0
79,46.32395,11.08641,2023-07-15 13:00:00+00:00,489.25
80,46.32267,11.08787,2023-07-15 13:00:00+00:00,39.666666666666664
81,46.30213,11.08946,2023-07-15 13:00:00+00:00,364.75
84,46.31254,11.09262,2023-07-15 13:00:00+00:00,39.25
86,46.318,11.0896,2023-07-15 13:00:00+00:00,58.0
87,46.32371,11.09077,2023-07-15 13:00:00+00:00,328.5
88,46.31141,11.08629,2023-07-15 13:00:00+00:00,264.75
1,46.31213,11.08839,2023-07-15 14:00:00+00:00,92.0
2,46.32987,11.08961,2023-07-15 14:00:00+00:00,133.33333333333334
4,46.32096,11.0838,2023-07-15 14:00:00+00:00,463.5
5,46.3085,11.08802,2023-07-15 14:00:00+00:00,259.5
6,46.3169,11.0942,2023-07-15 14:00:00+00:00,50.0
9,46.31227,11.09467,2023-07-15 14:00:00+00:00,35.666666666666664
10,46.31411,11.08359,2023-07-15 14:00:00+00:00,50.0
11,46.31593,11.0862,2023-07-15 14:00:00+00:00,36.5
60,46.31769,11.07855,2023-07-15 14:00:00+00:00,67.66666666666667
77,46.31392,11.09142,2023-07-15 14:00:00+00:00,78.25
78,46.3157,11.08748,2023-07-15 14:00:00+00:00,110.75
79,46.32395,11.08641,2023-07-15 14:00:00+00:00,482.5
80,46.32267,11.08787,2023-07-15 14:00:00+00:00,37.0
81,46.30213,11.08946,2023-07-15 14:00:00+00:00,346.0
84,46.31254,11.09262,2023-07-15 14:00:00+00:00,42.0
86,46.318,11.0896,2023-07-15 14:00:00+00:00,59.0
87,46.32371,11.09077,2023-07-15 14:00:00+00:00,334.75
88,46.31141,11.08629,2023-07-15 14:00:00+00:00,260.5
1,46.31213,11.08839,2023-07-15 15:00:00+00:00,98.0
2,46.32987,11.08961,2023-07-15 15:00:00+00:00,162.66666666666666
4,46.32096,11.0838,2023-07-15 15:00:00+00:00,481.25
5,46.3085,11.08802,2023-07-15 15:00:00+00:00,276.3333333333333
6,46.3169,11.0942,2023-07-15 15:00:00+00:00,53.5
9,46.31227,11.09467,2023-07-15 15:00:00+00:00,39.75
10,46.31411,11.08359,2023-07-15 15:00:00+00:00,63.333333333333336
11,46.31593,11.0862,2023-07-15 15:00:00+00:00,45.666666666666664
60,46.31769,11.07855,2023-07-15 15:00:00+00:00,75.0
77,46.31392,11.09142,2023-07-15 15:00:00+00:00,92.66666666666667
78,46.3157,11.08748,2023-07-15 15:00:00+00:00,142.0
79,46.32395,11.08641,2023-07-15 15:00:00+00:00,489.3333333333333
80,46.32267,11.08787,2023-07-15 15:00:00+00:00,38.0
81,46.30213,11.08946,2023-07-15 15:00:00+00:00,357.25
84,46.31254,11.09262,2023-07-15 15:00:00+00:00,42.0
86,46.318,11.0896,2023-07-15 15:00:00+00:00,62.25
87,46.32371,11.09077,2023-07-15 15:00:00+00:00,346.5
88,46.31141,11.08629,2023-07-15 15:00:00+00:00,275.3333333333333
1,46.31213,11.08839,2023-07-15 16:00:00+00:00,129.0
2,46.32987,11.08961,2023-07-15 16:00:00+00:00,186.5
4,46.32096,11.0838,2023-07-15 16:00:00+00:00,493.0
5,46.3085,11.08802,2023-07-15 16:00:00+00:00,297.0
6,46.3169,11.0942,2023-07-15 16:00:00+00:00,59.0
9,46.31227,11.09467,2023-07-15 16:00:00+00:00,48.0
